element_type,osmid,amenity,name,geometry
node,207358602,casino,Casino Monte Laa,POINT (16.4014105 48.165714)
node,280506164,cinema,Cineplexx Wienerberg,POINT (16.3453859 48.1676667)
node,287282953,parking_entrance,,POINT (16.353929 48.1762592)
node,287282979,parking_entrance,,POINT (16.3541416 48.1762969)
node,295791955,drinking_water,,POINT (16.3973737 48.1368803)
node,304026398,drinking_water,,POINT (16.3516984 48.1656095)
node,306242418,bicycle_parking,,POINT (16.3738805 48.1669087)
node,306242730,atm,,POINT (16.3741571 48.1667655)
node,306244375,pharmacy,Verdi-Apotheke,POINT (16.3708058 48.1686103)
node,306244695,drinking_water,,POINT (16.3777944 48.166634)
node,306246711,courthouse,Bezirksgericht Favoriten,POINT (16.3728514 48.1703571)
node,306246909,prison,Justizanstalt Wien-Favoriten,POINT (16.3726576 48.1699616)
node,306247720,place_of_worship,Apostelpfarre,POINT (16.3705839 48.1657605)
node,306248928,pharmacy,Heilfried-Apotheke,POINT (16.3664844 48.1665242)
node,306249054,pharmacy,Trost-Apotheke,POINT (16.3643489 48.1704531)
node,306249816,fuel,Turmöl,POINT (16.3699757 48.1701611)
node,306251162,taxi,,POINT (16.3688402 48.1692464)
node,306256864,fuel,Eni,POINT (16.3772219 48.1634628)
node,308040575,fuel,Turmöl,POINT (16.3797037 48.1628588)
node,308042102,veterinary,,POINT (16.3721261 48.1666243)
node,308876146,kindergarten,Kindergarten der Apostelpfarre,POINT (16.3703514 48.1655953)
node,308876218,kindergarten,,POINT (16.3712998 48.1663675)
node,308877404,cafe,Carno,POINT (16.369634 48.1690211)
node,311820993,pub,Mabel's No90,POINT (16.3703852 48.1692604)
node,311821003,bank,BAWAG PSK,POINT (16.3645715 48.169873)
node,311821005,restaurant,Mango,POINT (16.354584 48.1764049)
node,325106435,pharmacy,Johannes-Apotheke,POINT (16.3779535 48.1869374)
node,325645994,police,Polizeiinspektion Ada-Christen-Gasse,POINT (16.3829852 48.1505426)
node,325647488,police,Polizeiinspektion Favoritenstraße,POINT (16.3828052 48.1638844)
node,325648293,police,Polizeiinspektion Keplergasse,POINT (16.3770351 48.1794412)
node,325649728,police,Polizeiinspektion Sibeliusstraße,POINT (16.3622918 48.1594888)
node,325652416,police,Polizeiinspektion Van-der-Nüll-Gasse,POINT (16.3698964 48.1790402)
node,325653646,police,Polizeiinspektion Zohmanngasse,POINT (16.3632676 48.1695123)
node,327927504,fuel,OIL!,POINT (16.3834598 48.1365689)
node,327936555,fuel,Shell,POINT (16.3908073 48.1641388)
node,329280055,fuel,Eni,POINT (16.3785475 48.1780583)
node,329283371,fuel,Turmöl,POINT (16.3886376 48.1710623)
node,335610480,pharmacy,Alauda-Apotheke,POINT (16.3919957 48.1460914)
node,335611107,pharmacy,Antonius-Apotheke,POINT (16.3723689 48.1735439)
node,335611709,pharmacy,Apotheke am Reumannplatz,POINT (16.3776832 48.1745819)
node,335612010,ice_cream,Eissalon Tichy,POINT (16.3773424 48.1739485)
node,335612808,pharmacy,"Apotheke ""Am Wienerfeld""",POINT (16.366644 48.1573255)
node,335613259,pharmacy,"Apotheke ""Zur Mutter Gottes""",POINT (16.3693743 48.1787348)
node,335632625,pharmacy,"Apotheke ""Zur Spinnerin am Kreuz""",POINT (16.3462488 48.1697744)
node,335635331,pharmacy,Carolinen Apotheke,POINT (16.3478921 48.1749594)
node,335637760,pharmacy,Elisabeth-Apotheke,POINT (16.37435 48.1832911)
